DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P6160;P8586;P6218;P8587;P8587S1;P6211;P5455;P1088;P1088S1;P6216;P5457;P5673;P5674;P6223;P1101;P5461;P5461S1;P5461S2;P5461S3;P4693;P6167;P6180;P6180S1;P6180S2;P8610;P8610S1;P8610S2;P6229;P6229S1;P8612;P8612S1;P8612S2;P6238;P8614;P8614S1;P8614S2;P6202;P781;P781S1;P781S2;P782;P783;LLAVEHOG;FEX_C
6001573;1;1;1;1;2;2;11;5;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015731;2374,89784434324
6001573;2;1;2;1;2;2;11;5;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015731;2374,89784434324
6001574;1;1;1;1;2; ;5;11; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015741;1775,57880122993
6001574;2;1;2;1;2; ;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015741;1775,57880122993
6001574;3;1;3;1;2;2;7;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015741;1775,57880122993
6001574;4;1;4;1;2; ;4;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015741;1775,57880122993
6001575;1;1;1;1;2; ;7;2;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015751;2261,01898767482
6001575;2;1;2;1;2; ;5;11; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015751;2261,01898767482
6001575;3;1;3;1;1; ; ; ; ; ;3;6; ; ;1; ;1;4; ;2;2;2;4;10;1;0;2500;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60015751;2261,01898767482
6001575;4;1;4;1;1; ; ; ; ; ;2;4; ; ;1; ;1;4; ;2;2;2;4;10;1;0;2500;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60015751;2261,01898767482
6001576;1;1;1;1;2; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015761;2221,54760785163
6001576;2;1;2;1;2; ;4;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015761;2221,54760785163
6001576;3;1;3;1;2; ;5;11; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015761;2221,54760785163
6001576;4;1;4;1;1; ; ; ; ; ;3;9; ; ;1; ;1;2; ;2;2;2;4;10;1;0;3000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;3; ; ; ;60015761;2221,54760785163
6001576;5;1;5;1;1; ; ; ; ; ;2;5; ; ;1; ;1;1; ;2;2;2;4;10;1;0;2500;2; ; ; ; ;2; ; ; ;2; ; ; ;1;3; ; ; ;60015761;2221,54760785163
6001577;1;1;1;1;2;2;11;5;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015771;2374,89784434324
6001577;2;1;2;1;2;1;7;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015771;2374,89784434324
6001578;1;1;1;1;2; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015781;2294,32975208356
6001578;2;1;2;1;2; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015781;2294,32975208356
6001578;3;1;3;1;1; ; ; ; ; ;5;2;2;3;2; ;1; ; ; ; ; ;3;30;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60015781;2294,32975208356
6001579;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015791;2531,21202130172
6001579;2;1;2;1;2; ;5;11; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015791;2531,21202130172
6001579;3;1;3;1;1; ; ; ; ; ;3;9; ; ;1; ;1;1; ;2;2;2;4;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60015791;2531,21202130172
6001579;4;1;4;1;1; ; ; ; ; ;3;8; ; ;1; ;1;2; ;2;2;2;4;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60015791;2531,21202130172
6001581;1;1;1;1;2; ;11;5;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015811;2881,97314718831
6001581;2;1;2;1;2; ;11;5;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015811;2881,97314718831
6001581;3;1;3;1;1; ; ; ; ; ;7;2;1;1;2; ;1; ; ; ; ; ;3;20;2; ; ;1;99;3;3;1;2; ; ; ;2; ; ; ; ; ; ; ; ;60015811;2881,97314718831
6001581;4;1;4;1;1; ; ; ; ; ;7;1;0;1;2; ;1; ; ; ; ; ;3;30;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;4; ; ; ; ;60015811;2881,97314718831
6001581;5;1;5;1;1; ; ; ; ; ;4;10; ;1;1; ;1;1; ;2;2;2;2;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;4; ; ; ; ;60015811;2881,97314718831
6001581;6;1;6;1;1; ; ; ; ; ;2;1; ; ;2;2;1;1; ;1;1;1;2;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;5; ; ; ;60015811;2881,97314718831
6001583;1;1;1;1;2; ;4;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015831;1972,93682380382
6001583;2;1;2;1;2; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015831;1972,93682380382
6001583;3;1;3;1;2; ;11;5;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015831;1972,93682380382
6001583;4;1;4;1;1; ; ; ; ; ;3;8; ; ;2;2;1;1; ;1;1;1;4;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60015831;1972,93682380382
6001585;1;1;1;1;2; ;4;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015851;2489,58577627949
6001587;1;1;1;1;2;2;11;5;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015871;2284,81385798734
6001587;2;1;2;1;2;2;11;5;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015871;2284,81385798734
6001588;1;1;1;1;2; ;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015881;2240,23671883822
6001589;1;1;1;1;2; ;7;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015891;2639,9060921746
6001589;2;1;2;1;2;2;7;2;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015891;2639,9060921746
6001589;3;1;3;1;1; ; ; ; ; ;1;1; ; ;2;2;1;4; ;1;1;1;4;5;2; ; ;2; ; ; ; ;1;500000;4;7;2; ; ; ;1;2; ; ; ;60015891;2639,9060921746
6001590;1;1;1;1;2; ;11;6;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015901;2514,9848585582
6001590;2;1;2;1;2;9;11;6;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015901;2514,9848585582
6001590;3;1;3;1;1; ; ; ; ; ;6;3;2;1;2; ;1; ; ; ; ; ;3;40;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60015901;2514,9848585582
6001590;4;1;4;1;2; ;9;4;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015901;2514,9848585582
6001590;6;1;6;1;1; ; ; ; ; ;4;10; ;1;1; ;1;2; ;2;2;2;3;20;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60015901;2514,9848585582
6001591;1;1;1;1;2; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015911;2400,98423309962
6001591;2;1;2;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015911;2400,98423309962
6001591;3;1;3;1;2; ;4;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015911;2400,98423309962
6001591;4;1;4;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015911;2400,98423309962
6001592;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015921;2530,6876904056
6001592;2;1;2;1;2;2;7;1;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015921;2530,6876904056
6001593;1;1;1;1;2; ;5;13; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015931;1788,88840993562
6001593;2;1;2;1;2; ;4;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015931;1788,88840993562
6001593;3;1;3;1;1; ; ; ; ; ;5;2;2;1;2; ;1; ; ; ; ; ;3;30;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60015931;1788,88840993562
6001594;1;1;1;1;2; ;4;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015941;2733,76912155821
6001594;2;1;2;1;2; ;4;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015941;2733,76912155821
6001594;3;1;3;1;2;2;7;3;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015941;2733,76912155821
6001594;4;1;4;1;1; ; ; ; ; ;4;11; ;1;1; ;1;1; ;2;2;2;3;15;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60015941;2733,76912155821
6001594;5;1;5;1;1; ; ; ; ; ;4;11; ;1;1; ;1;1; ;2;2;2;3;15;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;4; ; ; ; ;60015941;2733,76912155821
6001595;1;1;1;1;2; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015951;2455,11239528324
6001595;2;1;2;1;2;4;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015951;2455,11239528324
6001595;3;1;3;1;1; ; ; ; ; ;3;6; ; ;1; ;1;1; ;2;2;2;4;15;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60015951;2455,11239528324
6001595;4;1;4;1;1; ; ; ; ; ;2;5; ; ;1; ;1;1; ;2;2;2;4;15;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60015951;2455,11239528324
6001595;5;1;5;1;1; ; ; ; ; ;2;1; ; ;1; ;1;1; ;2;2;2;4;15;1;0;4000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60015951;2455,11239528324
6001596;1;1;1;1;2; ;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015961;2457,14390854756
6001596;2;1;2;1;2;2;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015961;2457,14390854756
6001596;3;1;3;1;2;3;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015961;2457,14390854756
6001597;1;1;1;1;2; ;4;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015971;2865,68011668965
6001597;2;1;2;2;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015971;2865,68011668965
6001597;3;1;3;1;2;3;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015971;2865,68011668965
6001597;4;1;4;1;2;4;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015971;2865,68011668965
6001597;5;1;5;1;2;3;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60015971;2865,68011668965
6001597;7;1;7;1;2;7;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;60015971;2865,68011668965
6001600;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016001;2833,84164011311
6001600;2;1;2;1;2; ;9;4;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016001;2833,84164011311
6001601;1;1;1;1;2; ;4;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016011;2039,4630701187
6001601;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016011;2039,4630701187
6001601;3;1;3;1;2;3;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016011;2039,4630701187
6001601;4;1;4;1;1; ; ; ; ; ;3;6; ; ;1; ;1;1; ;2;2;2;4;15;1;2000;8000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60016011;2039,4630701187
6001601;5;1;5;1;1; ; ; ; ; ;3;6; ; ;1; ;1;1; ;2;2;2;4;15;1;1000;8000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60016011;2039,4630701187
6001602;1;1;1;1;2;9;4;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016021;2408,72756731472
6001602;2;1;2;1;2;4;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016021;2408,72756731472
6001602;3;1;3;1;1; ; ; ; ; ;2;4; ; ;1; ;1;2; ;2;2;2;4;10;1;0;3000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60016021;2408,72756731472
6001602;4;1;4;1;1; ; ; ; ; ;2;2; ; ;1; ;1;1; ;2;2;2;4;10;1;0;5000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60016021;2408,72756731472
6001603;1;1;1;1;2;4;4;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016031;2517,94596908372
6001603;2;1;2;1;2;9;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016031;2517,94596908372
6001603;3;1;3;1;1; ; ; ; ; ;2;4; ; ;1; ;1;1; ;2;2;2;4;10;1;0;3000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60016031;2517,94596908372
6001603;4;1;4;1;1; ; ; ; ; ;2;2; ; ;1; ;1;2; ;2;2;2;4;10;1;0;1500;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60016031;2517,94596908372
6001604;1;1;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016041;2833,84164011311
6001604;2;1;2;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016041;2833,84164011311
6001605;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016051;2199,61545079157
6001605;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016051;2199,61545079157
6001605;3;1;3;1;1; ; ; ; ; ;3;8; ; ;1; ;1;1; ;2;2;2;4;10;1;1000;6000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60016051;2199,61545079157
6001605;4;1;4;1;1; ; ; ; ; ;3;7; ; ;1; ;1;1; ;2;2;2;4;10;1;1000;6000;2; ; ; ; ;2; ; ; ;2; ; ; ;4; ; ; ; ;60016051;2199,61545079157
6001605;5;1;5;1;2;3;4;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016051;2199,61545079157
6001605;6;1;6;1;1; ; ; ; ; ;3;7; ; ;1; ;1;1; ;2;2;2;4;5;1;1000;6000;2; ; ; ; ;2; ; ; ;2; ; ; ;4; ; ; ; ;60016051;2199,61545079157
6001605;7;1;7;1;1; ; ; ; ; ;2;2; ; ;1; ;1;1; ;2;2;2;4;5;1;1000;6000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60016051;2199,61545079157
6001606;1;1;1;2;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016061;2020,93342504786
6001606;2;1;2;1;2; ;4;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016061;2020,93342504786
6001607;1;1;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016071;2533,05943065952
6001607;2;1;2;1;1; ; ; ; ; ;5;2;2;1;1; ;1; ; ; ; ; ;3;60;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60016071;2533,05943065952
6001607;3;1;3;1;1; ; ; ; ; ;2;4; ; ;1; ;1;1; ;2;2;2;4;15;1;0;2000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60016071;2533,05943065952
6001609;1;1;1;2;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016091;2285,15503998692
6001609;2;1;2;1;2;4;5;10; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016091;2285,15503998692
6001609;3;1;3;1;1; ; ; ; ; ;2;3; ; ;1; ;1;2; ;2;2;2;4;30;1;0;2000;2; ; ; ; ;1;200000;4;3;2; ; ; ;1;2; ; ; ;60016091;2285,15503998692
6001610;1;1;1;1;2; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016101;1821,0262665807
6001610;2;1;2;1;2; ;4;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016101;1821,0262665807
6001610;3;1;3;1;2;9;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016101;1821,0262665807
6001610;4;1;4;1;1; ; ; ; ; ;2;5; ; ;1; ;1;1; ;2;2;2;3;15;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;3; ; ; ;60016101;1821,0262665807
6001610;5;1;5;1;1; ; ; ; ; ;2;2; ; ;1; ;1;1; ;2;2;2;3;15;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;3; ; ; ;60016101;1821,0262665807
6001611;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016111;2446,95273128035
6001611;2;1;2;1;2; ;7;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016111;2446,95273128035
6001612;1;1;1;1;2; ;4;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016121;2666,25602507071
6001622;1;1;1;1;2; ;4;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016221;2335,95849502695
6001622;2;1;2;1;2;10;4;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016221;2335,95849502695
6001622;3;1;3;1;1; ; ; ; ; ;4;10; ;1;1; ;1;1; ;2;2;2;3;14;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;4; ; ; ; ;60016221;2335,95849502695
6001622;4;1;4;1;2;10;4;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;60016221;2335,95849502695
6001622;5;1;5;1;1; ; ; ; ; ;3;6; ; ;1; ;1;1; ;2;2;2;4;5;1;0;5000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;3; ; ; ;60016221;2335,95849502695
6001622;6;1;6;1;1; ; ; ; ; ;2;5; ; ;1; ;1;1; ;2;2;2;4;5;1;0;5000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;3; ; ; ;60016221;2335,95849502695
6001623;1;1;1;2;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016231;1919,06663220281
6001623;2;1;2;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016231;1919,06663220281
6001623;3;1;3;1;1; ; ; ; ; ;2;5; ; ;1; ;1;1; ;2;2;2;4;5;1;500;2000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60016231;1919,06663220281
6001623;4;1;4;1;1; ; ; ; ; ;3;6; ; ;1; ;1;1; ;2;2;2;2;15;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60016231;1919,06663220281
6001623;5;1;5;1;2;13;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;60016231;1919,06663220281
6001623;6;1;6;1;1; ; ; ; ; ;2;3; ; ;1; ;1;1; ;2;2;2;4;5;1;0;2000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60016231;1919,06663220281
6001625;1;1;1;1;2; ;7;3;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016251;1921,2766794661
6001625;2;1;2;1;2; ;7;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60016251;1921,2766794661
6001625;3;1;3;1;1; ; ; ; ; ;2;5; ; ;1; ;1;1; ;2;2;2;4;5;1;0;2000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60016251;1921,2766794661
