DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P6160;P8586;P6218;P8587;P8587S1;P6211;P5455;P1088;P1088S1;P6216;P5457;P5673;P5674;P6223;P1101;P5461;P5461S1;P5461S2;P5461S3;P4693;P6167;P6180;P6180S1;P6180S2;P8610;P8610S1;P8610S2;P6229;P6229S1;P8612;P8612S1;P8612S2;P6238;P8614;P8614S1;P8614S2;P6202;P781;P781S1;P781S2;P782;P783;LLAVEHOG;FEX_C
6000008;4;1;4;1;1; ; ; ; ; ;2;1; ; ;1; ;1;1; ;2;2;2;4;5;1;0;2000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60000081;1981,20103562288
6000008;6;1;6;1;1; ; ; ; ; ;2;5; ; ;1; ;1;1; ;2;2;2;4;5;1;0;2000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60000081;1981,20103562288
6000009;1;1;1;1;2; ;4;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000091;2053,60291580025
6000009;2;1;2;1;2;4;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000091;2053,60291580025
6000010;1;1;1;1;2;3;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000101;2080,96003087228
6000010;2;1;2;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000101;2080,96003087228
6000010;3;1;3;1;1; ; ; ; ; ;4;11; ;1;1; ;1;1; ;1;2;2;3;20;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60000101;2080,96003087228
6000010;4;1;4;1;1; ; ; ; ; ;2;3; ; ;1; ;1;1; ;1;2;2;4;10;1;2000;3000;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ;2;52;9;60000101;2080,96003087228
6000011;1;1;1;1;2;2;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000111;2007,62134377632
6000011;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000111;2007,62134377632
6000011;3;1;3;1;1; ; ; ; ; ;3;9; ; ;2;2;1;1; ;1;1;2;3;45;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60000111;2007,62134377632
6000011;4;1;4;1;1; ; ; ; ; ;3;6; ; ;2;2;1;1; ;1;1;2;4;15;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60000111;2007,62134377632
6000012;1;1;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000121;1721,31655610553
6000013;1;1;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000131;1549,46606911964
6000013;2;1;2;1;2; ;11;5;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000131;1549,46606911964
6000013;3;1;3;1;1; ; ; ; ; ;3;6; ; ;2;2;1;1; ;1;1;1;4;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60000131;1549,46606911964
6000015;1;1;1;1;2; ;9;4;4;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000151;2672,9161059034
6000015;2;1;2;1;2;4;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000151;2672,9161059034
6000015;3;1;3;2;1; ; ; ; ; ;2;1; ; ;2;2;1;1; ;1;1;1;1;20;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60000151;2672,9161059034
6000015;4;1;4;1;1; ; ; ; ; ;7;4;3;1;1; ;1; ; ; ; ; ;4;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60000151;2672,9161059034
6000015;5;1;5;1;1; ; ; ; ; ;7;4;3;1;1; ;1; ; ; ; ; ;4;5;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60000151;2672,9161059034
6000015;6;1;6;1;2;2;11;5;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000151;2672,9161059034
6000015;7;1;7;1;1; ; ; ; ; ;7;3;2;1;1; ;1; ; ; ; ; ;4;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60000151;2672,9161059034
6000016;1;1;1;1;2; ;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000161;1654,03527397947
6000016;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000161;1654,03527397947
6000016;3;1;3;2;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000161;1654,03527397947
6000017;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000171;1659,09951097118
6000019;1;1;1;1;2;9;7;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000191;2183,57317439331
6000019;2;1;2;1;2;9;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000191;2183,57317439331
6000019;3;1;3;1;1; ; ; ; ; ;2;4; ; ;1; ;1;2; ;1;2;2;3;15;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;5; ; ; ;60000191;2183,57317439331
6000019;4;1;4;1;1; ; ; ; ; ;2;1; ; ;1; ;1;2; ;1;2;2;3;15;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;5; ; ; ;60000191;2183,57317439331
6000019;5;1;5;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000191;2183,57317439331
6000019;6;1;6;1;1; ; ; ; ; ;4;11; ;1;1; ;1;1; ;1;2;2;3;20;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60000191;2183,57317439331
6000020;1;1;1;1;2; ;13;5;12;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000201;1943,01400628213
6000020;2;1;2;1;2; ;9;4;4;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000201;1943,01400628213
6000021;1;1;1;1;2;15;10;5;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000211;2507,76463962907
6000032;1;1;1;1;2; ;9;3;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000321;1476,73072624905
6000032;2;1;2;1;1; ; ; ; ; ;7;1;0;5;1; ;1; ; ; ; ; ;4;15;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60000321;1476,73072624905
6000032;3;1;3;1;1; ; ; ; ; ;3;7; ; ;1; ;1;1; ;2;2;2;4;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60000321;1476,73072624905
6000033;1;1;1;1;2; ;13;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000331;1386,73377261771
6000033;2;1;2;1;1; ; ; ; ; ;8;1;5;1;1; ;1; ; ; ; ; ;3;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60000331;1386,73377261771
6000033;3;1;3;1;1; ; ; ; ; ;3;6; ; ;1; ;1;1; ;1;1;2;1;20;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60000331;1386,73377261771
6000034;1;1;1;1;2; ;11;5;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000341;897,238605631413
6000034;2;1;2;1;1; ; ; ; ; ;3;9; ; ;1; ;1;1; ;2;2;2;1;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;3; ; ; ;60000341;897,238605631413
6000034;3;1;3;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000341;897,238605631413
6000035;1;1;1;1;2; ;11;5;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000351;1032,50750267155
6000035;2;1;2;1;2; ;11;5;5;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000351;1032,50750267155
6000036;1;1;1;1;2; ;4;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000361;807,715132038827
6000036;2;1;2;1;1; ; ; ; ; ;3;6; ; ;1; ;1;2; ;2;2;2;4;6;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;4; ; ; ;60000361;807,715132038827
6000036;3;1;3;1;2;3;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000361;807,715132038827
6000036;4;1;4;1;2;10;4;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;60000361;807,715132038827
6000036;5;1;5;1;2;9;4;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000361;807,715132038827
