year,cod_dpto,alive,fetal,no_fetal,deaths,Total,fetal_percapita,no_fetal_percapita,alive_percapita,deaths_percapita,DPNOM,Total pregnan,prob_alive,prob_fetal,prob_no_fetal
2009,13,35579,568,487,1055,1896988,0.029942203113567403,0.025672276261104444,1.8755521911577722,0.05561447937467185,Bolívar,36634,0.9712016159851504,0.015504722389037506,0.013293661625812088
2010,13,30875,529,368,897,1916100,0.02760816241323522,0.019205678200511455,1.6113459631543239,0.046813840613746674,Bolívar,31772,0.9717675941080196,0.01664988039783457,0.011582525494145788
2011,13,35036,507,393,900,1933804,0.026217755263718556,0.020322638695545153,1.8117658252852926,0.04654039395926371,Bolívar,35936,0.9749554764024934,0.014108414959928763,0.010936108637577916
2012,13,37299,929,480,1409,1950314,0.0476333554494302,0.024611421545453708,1.912461275466412,0.0722447769948839,Bolívar,38708,0.9635992559677586,0.02400020667562261,0.012400537356618786
2013,13,35282,1412,428,1840,1965842,0.07182672869945804,0.021771841277172833,1.794752579301897,0.09359856997663088,Bolívar,37122,0.9504337050805453,0.03803674370992942,0.01152955120952535
2014,13,36607,1168,440,1608,1980186,0.05898435803505327,0.022220134876218697,1.8486647213948588,0.08120449291127198,Bolívar,38215,0.957922281826508,0.030563914693183303,0.01151380348030878
2015,13,35680,1035,407,1442,1994311,0.05189762278802052,0.020408050700216767,1.7890890638420989,0.07230567348823728,Bolívar,37122,0.9611551101772534,0.027881040892193308,0.010963848930553311
2016,13,34558,1092,401,1493,2011418,0.054290058058543776,0.01993618432369602,1.718091416105454,0.0742262423822398,Bolívar,36051,0.9585864469778924,0.03029042190230507,0.011123131119802503
2017,13,36935,1152,434,1586,2030869,0.05672448592203633,0.021370162231044938,1.818679589870149,0.07809464815308127,Bolívar,38521,0.9588276524493133,0.02990576568624906,0.01126658186443758
2008,15,19180,269,276,545,1247306,0.02156648007786381,0.022127689596618632,1.537714081388208,0.04369416967448245,Boyacá,19725,0.9723700887198986,0.013637515842839038,0.013992395437262358
2009,15,18680,270,214,484,1245756,0.021673586159729512,0.01717832384511895,1.499491072087953,0.03885191000484846,Boyacá,19164,0.9747443122521394,0.014088916718847839,0.011166771029012732
2010,15,17754,464,222,686,1243898,0.03730209390159,0.017847122513260733,1.427287446398338,0.05514921641485074,Boyacá,18440,0.9627982646420824,0.025162689804772233,0.012039045553145337
2011,15,17156,538,187,725,1241563,0.04333247688598968,0.015061660181561467,1.3818066421115964,0.058394137067551144,Boyacá,17881,0.9594541692299089,0.03008780269559868,0.010458028074492478
2012,15,17227,528,172,700,1238657,0.042626812749615106,0.01388600718358674,1.3907804985560974,0.05651281993320185,Boyacá,17927,0.9609527528309254,0.029452780721816254,0.009594466447258325
2013,15,16339,453,151,604,1235236,0.03667315395600517,0.012224384652001723,1.322743184298385,0.04889753860800689,Boyacá,16943,0.9643510594345748,0.026736705424068936,0.008912235141356313
2014,15,15840,410,132,542,1231277,0.03329876217942835,0.010720577091913517,1.286469251029622,0.04401933927134187,Boyacá,16382,0.9669149066048102,0.025027469173483093,0.008057624221706751
2015,15,15360,460,142,602,1226789,0.03749626056314492,0.011574932608622999,1.252049048369361,0.049071193171767925,Boyacá,15962,0.9622854278912417,0.02881844380403458,0.008896128304723718
2016,15,15157,615,148,763,1222079,0.050324078885243914,0.012110510040676585,1.2402635181522634,0.0624345889259205,Boyacá,15920,0.9520728643216081,0.03863065326633166,0.0092964824120603
2017,15,14700,519,123,642,1216499,0.042663413615629774,0.010110982417576998,1.2083857035640801,0.052774396033206765,Boyacá,15342,0.9581540868204927,0.03382870551427454,0.008017207665232694
2008,17,12502,766,166,932,940316,0.08146197661211763,0.017653639840223924,1.3295530438703584,0.09911561645234156,Caldas,13434,0.9306237903826113,0.057019502754205746,0.012356706863182968
2009,17,11482,839,142,981,942490,0.08901951214336491,0.015066472853823383,1.218262262729578,0.1040859849971883,Caldas,12463,0.9212870095482628,0.06731926502447244,0.011393725427264703
2010,17,10879,692,145,837,945605,0.0731806621157883,0.015334098275707087,1.1504803802856371,0.08851476039149539,Caldas,11716,0.9285592352338682,0.05906452714236941,0.012376237623762377
2011,17,10691,672,129,801,949298,0.07078915156252304,0.013588988916020048,1.1262006240400801,0.0843781404785431,Caldas,11492,0.9302993386703794,0.05847546119039332,0.011225200139227289
2012,17,10555,660,134,794,953249,0.06923689403293368,0.014057187576383506,1.107265782602447,0.08329408160931719,Caldas,11349,0.9300378888007754,0.05815490351572826,0.011807207683496343
2013,17,10181,601,124,725,957620,0.06275975856811679,0.012948768822706293,1.0631565756771997,0.07570852739082308,Caldas,10906,0.9335228314689162,0.055107280396112235,0.011369888134971575
2014,17,10047,542,90,632,962880,0.05628946493851778,0.009346959122632104,1.0434322033898304,0.06563642406114989,Caldas,10679,0.9408184286918251,0.0507538159003652,0.00842775540780972
2015,17,9731,472,114,586,969209,0.04869950650478896,0.011762168943953264,1.0040146139790282,0.06046167544874222,Caldas,10317,0.9432005427934477,0.04574973344964622,0.011049723756906077
2016,17,9563,361,95,456,976624,0.03696407215059225,0.00972738740805059,0.9791895345598716,0.04669145955864284,Caldas,10019,0.9544864756961773,0.03603154007385967,0.00948198422996307
2017,17,9295,278,85,363,984735,0.0282309453812447,0.00863176387556043,0.9439087673333435,0.03686270925680513,Caldas,9658,0.9624145785876993,0.028784427417684822,0.008800993994615862
2008,18,7125,127,195,322,330358,0.03844314349887092,0.05902687387621913,2.156751160861853,0.09747001737509005,Caquetá,7447,0.9567611118571236,0.017053847186786625,0.0261850409560897
2009,18,7225,96,142,238,336689,0.028512960031364255,0.042175420046392964,2.145897252360487,0.07068838007775721,Caquetá,7463,0.9681093394077449,0.012863459734691144,0.019027200857563983
2010,18,7134,107,118,225,343162,0.03118060857554158,0.03438609170012997,2.078901510073959,0.06556670027567155,Caquetá,7359,0.9694251936404403,0.014540019024323957,0.016034787335235764
2011,18,7408,81,116,197,349751,0.02315933335430063,0.03316645270492436,2.1180782899834454,0.05632578605922499,Caquetá,7605,0.9740959894806048,0.010650887573964497,0.015253122945430637
2012,18,7817,81,106,187,356438,0.02272484976349323,0.029738692283089906,2.1930882790274886,0.052463542046583135,Caquetá,8004,0.9766366816591704,0.010119940029985007,0.013243378310844578
2013,18,7751,72,95,167,363283,0.01981925936528822,0.026150411662533065,2.1335983241715137,0.045969671027821284,Caquetá,7918,0.9789088153574135,0.009093205354887599,0.011997979287698914
2014,18,7549,259,72,331,370412,0.06992214075137955,0.01943781518957269,2.0380009286956144,0.08935995594095224,Caquetá,7880,0.957994923857868,0.03286802030456853,0.009137055837563452
2015,18,7330,415,65,480,377925,0.10981014751604154,0.017199179731428194,1.9395382681749025,0.12700932724746974,Caquetá,7810,0.93854033290653,0.05313700384122919,0.008322663252240717
2016,18,6883,576,75,651,385914,0.14925605186647803,0.01943438175344766,1.783557994786403,0.1686904336199257,Caquetá,7534,0.9135917175471198,0.07645341120254845,0.009954871250331829
2017,18,7226,454,80,534,394539,0.11507100692200264,0.02027682941356875,1.831504616780597,0.13534783633557138,Caquetá,7760,0.9311855670103093,0.05850515463917526,0.010309278350515464
