Divipola,Municipios,Departamentos ,Cobertura de viviendas con servicio de acueducto - Cabecera Municipal,Cobertura de viviendas con servicio de alcantarillado - Cabecera Municipal,Cobertura de viviendas con servicio de Energía eléctrica - Cabecera Municipal,Cobertura de viviendas con servicio de Conexión a gas - Cabecera Municipal,Cobertura de viviendas con servicio de Recoleccion de basuras - Cabecera Municipal,Cobertura de viviendas con servicio de Telefonia - Cabecera Municipal,Asistencia a centro educativo de 0 - 17 años
20443,Manaure B. Cesar,CESAR,64.85,42.77,64.53,15.15,60.37,8.05,19.28
20517,Pailitas,CESAR,66.57,62.67,68.16,44.3,64.28,3.5,21.83
20550,Pelaya,CESAR,65.29,31.8,65.89,38.57,10.1,3.05,17.8
20570,Pueblo Bello,CESAR,48.84,28.55,49.53,0.12,44,2.24,23.71
20614,Rio de Oro,CESAR,41.43,39.94,42.91,0.29,41.8,10.44,17.61
20621,La Paz,CESAR,49.94,46.48,53.96,39.54,49.33,6.84,22.45
20710,San Alberto,CESAR,70.91,67.32,73.63,49.47,73.51,5.21,19.3
20750,San Diego,CESAR,53.88,52.25,54.05,38.68,50.23,6.29,21.7
20770,San Martín,CESAR,48.86,45.09,49.79,3.63,48.9,2.65,17.36
20787,Tamalameque,CESAR,40.66,23.83,41.21,25.62,0.72,4.84,29.28
23001,Montería,CORDOBA,60.48,0.72,70.73,27.8,64.06,4.51,12.37
23068,Ayapel,CORDOBA,7.17,14.72,55.91,24.64,23.79,2.34,19.2
23079,Buenavista,CORDOBA,35.24,22,39.57,18.87,29.77,2.6,23.28
23090,Canalete,CORDOBA,21.7,4.6,21.74,0.49,19.78,0.32,23.31
23162,Cerete,CORDOBA,45.01,12.79,50.01,23.77,23.49,3.61,18.11
23168,Chimá ,CORDOBA,14.03,9.71,19.96,14.41,6.89,1.52,20.56
23182,Chinú,CORDOBA,48.12,38.35,49.15,41.09,40.28,3.04,19.05
23189,Cienaga de Oro,CORDOBA,33.58,11.86,37.28,24.8,17.21,5.12,18.76
23300,Cotorra,CORDOBA,31.7,0,34.57,21.94,3.5,0.61,22.29
23350,La Apartada,CORDOBA,45.16,14.07,71.58,0.77,41.11,1.55,18.78
23417,Sta Cruz de Lorica,CORDOBA,39.45,17.34,42.16,20.35,19.85,5.13,19.08
23419,Los Cordobas,CORDOBA,14.94,1.93,20.41,0.05,1.24,0.23,20.68
23464,Momil,CORDOBA,54.53,16.91,63.32,35.94,18.77,6.87,18.15
23466,MONTELIBANO,CORDOBA,31.2,23.94,75.57,24.8,54.29,4.64,17.39
23500,Moñitos,CORDOBA,18.66,0,23.05,0,11.79,1.39,21.74
23555,Planeta Rica,CORDOBA,54.21,53.47,62.24,43.05,28.9,6.59,15.84
23570,Pueblo Nuevo,CORDOBA,30.1,9.41,30.43,17.84,18.91,1.91,18.52
23574,Puerto Escondido,CORDOBA,14.59,0.02,16.76,0.07,12.38,1.08,21.83
23580,Puerto Libertador,CORDOBA,32.83,10.39,36.99,0.08,28.58,1.44,13.18
23586,Purísima,CORDOBA,43.16,22.38,44.84,22.85,17.26,4.88,19.16
23660,Sahagún,CORDOBA,45.56,42.3,50.64,44.21,44.28,8.01,16.81
23670,San Andres Sotavento.,CORDOBA,16.31,17.6,24.57,19.82,12.2,4.4,20.59
23672,San Antero,CORDOBA,40.33,24.69,52.27,22.64,34.65,3.12,21.27
23675,San Bernardo del Vient,CORDOBA,27.54,0.56,28.08,1.11,8.93,4.95,18.69
23678,San Carlos,CORDOBA,13.31,0.26,21.01,8.52,7.62,1.5,16.06
23682,San jose de Ure,CORDOBA,0.17,0.29,42.65,0.38,0.13,0.25,23.84
23686,San Pelayo,CORDOBA,18,2.17,18.55,8.1,8.53,1.96,18.49
23807,Tierralta,CORDOBA,34.01,10.84,41.31,0.12,26.88,2.49,16.38
23815,Tuchin,CORDOBA,0.05,0.05,14.19,9.29,0.35,1.22,20.85
23855,Valencia,CORDOBA,42.37,14.49,44.18,0.95,38.16,2,21.51
25001,Agua de Dios,CUNDINAMARCA,79.52,76.42,79.3,20.26,77.67,15.85,18.02
25019,ALBAN,CUNDINAMARCA,23.4,22.97,24.67,0.14,24.38,3.59,18.85
25035,Anapoima,CUNDINAMARCA,37.53,35.25,37.53,0.15,37.38,5.21,18
25040,Anolaima,CUNDINAMARCA,30.48,29.38,29.98,0.14,30.55,2.98,16.82
25053,ARBELAEZ,CUNDINAMARCA,33.21,32.58,33.21,22.57,32.93,4.79,17.72
25086,BELTRAN,CUNDINAMARCA,19.07,17.18,18.21,0,14.78,0,16.74
25095,Bituima,CUNDINAMARCA,15.08,14.83,15.2,0.12,14.09,2.35,13.13
25099,BOJACA,CUNDINAMARCA,76.26,75.47,76.16,53.41,76.26,7.88,21.5
25120,Cabrera,CUNDINAMARCA,24.08,23.35,24.08,0.37,24.01,1.17,20.07
25123,Cachipay,CUNDINAMARCA,30.71,28.2,30.36,0.09,30.28,1.04,17.48
25126,Cajicá ,CUNDINAMARCA,55.82,55.76,55.92,39.22,55.87,6.71,22.71
25148,CAPARRAPI,CUNDINAMARCA,19.81,17.11,19.69,0.05,19.54,0.36,15.52
25151,CAQUEZA,CUNDINAMARCA,35.06,34.12,35.38,15.83,33.98,5.28,16.97
25154,Carmen de Carupa,CUNDINAMARCA,21.58,21.25,21.44,0,21.34,0.57,16.93
25168,Chaguaní,CUNDINAMARCA,23.15,22.27,22.27,0.1,21.48,1.67,15.81
25175,CHIA,CUNDINAMARCA,59.2,59.05,59.22,43.15,59.17,20.44,18.82
25178,Chipaque,CUNDINAMARCA,25.94,25.78,26.18,14.48,25.9,3.85,16.38
25181,CHOACHI,CUNDINAMARCA,29.38,28.75,29.38,0.11,29.28,5.1,19.95
25183,CHOCONTA,CUNDINAMARCA,49.79,49.44,49.67,0.02,49.26,4.4,20.62
25200,Cogua,CUNDINAMARCA,33.24,33.15,33.19,27.86,33.13,5.38,18.85
25214,Cota,CUNDINAMARCA,50.06,49.38,50.38,24.04,50.3,13.51,22.49
25224,CUCUNUBA,CUNDINAMARCA,16.2,16.15,16.1,15.23,16.15,2.12,18.86
25245,El Colegio,CUNDINAMARCA,39.67,38.57,39.64,0.15,39.24,2.87,18.23
25258,El Peñón,CUNDINAMARCA,9.96,9.75,9.96,0,9.96,0,16.13
25260,El Rosal,CUNDINAMARCA,82.25,82.17,82.43,2.93,82.33,1.59,20.82
25269,FACATATIVA,CUNDINAMARCA,88.79,88.65,88.95,60.16,88.87,16.83,19.39
25279,Fomeque,CUNDINAMARCA,30.65,30.45,30.52,0.29,30.39,3.8,15.64
25281,Fosca,CUNDINAMARCA,19.66,19.33,19.53,17.11,19.46,1.83,17.28
25286,Funza,CUNDINAMARCA,96.38,96.36,96.56,77.97,96.54,35.92,20.86
25288,FUQUENE,CUNDINAMARCA,4.17,3.09,4.09,2.92,3.59,0.58,17.07
25290,FUSAGASUGA,CUNDINAMARCA,79.17,78.96,79.34,46.33,79.26,11.44,17.62
25293,Gachala,CUNDINAMARCA,25.12,24.98,24.98,0.14,24.92,2.43,15.82
25295,Gachancipá ,CUNDINAMARCA,49.49,49.49,49.49,24.07,49.42,4.38,21.27
25297,GACHETA,CUNDINAMARCA,32.04,31.04,31.97,0.14,31.07,4.78,15.29
25299,Gama,CUNDINAMARCA,17.45,17.75,18.14,0,17.84,2.06,16.81
25307,Girardot,CUNDINAMARCA,92.42,89.05,92.89,23.62,90.6,13.95,14.79
25312,Granada,CUNDINAMARCA,24.99,24.03,25.28,0.06,24.93,0.78,17.94
25317,GUACHETA,CUNDINAMARCA,32.84,32.78,32.78,3.44,32.68,2.79,18.14
25320,Guaduas,CUNDINAMARCA,43.44,44.15,46.05,8.27,46.15,5.47,16.94
25322,Guasca,CUNDINAMARCA,36,35.43,35.94,0.06,35.79,4.43,19.12
25324,Guataqui,CUNDINAMARCA,55.37,50,52.84,0.15,45.07,0.15,19.2
25326,Guatavita,CUNDINAMARCA,26.23,26.04,26.1,0.06,25.65,6.49,16.82
25328,Guayabal Siquima,CUNDINAMARCA,21.54,21.19,21.45,0,21.45,0.26,14.6
25335,Guayabetal,CUNDINAMARCA,12.48,14.54,23.27,15.05,19.53,0.29,18.02
25339,Gutierrez,CUNDINAMARCA,26.01,25.48,25.27,0.11,25.37,0.75,19.23
25368,Jerusalen,CUNDINAMARCA,31.18,23.63,30.49,0,26.79,3.43,14.79
25372,JUNIN,CUNDINAMARCA,10.21,10.17,10.31,0,10.12,0.92,16.99
25377,La Calera,CUNDINAMARCA,45.13,44.88,45.19,8.88,45.12,22.58,18.26
25386,La Mesa,CUNDINAMARCA,45.31,43.76,45.59,0.71,44.94,7.59,17.33
25394,La Palma,CUNDINAMARCA,37.5,37.38,38.84,0.28,38.09,3.91,15.55
25398,La Peña,CUNDINAMARCA,10.36,9.68,10.02,0,9.73,0.1,16.51
25402,La Vega,CUNDINAMARCA,35.34,34.1,35.41,0.22,35.34,2.06,16.5
25407,Lenguazaque,CUNDINAMARCA,24.64,24.51,24.6,4.94,24.69,3.03,17.17
25426,Macheta,CUNDINAMARCA,19.09,18.84,19.2,0.05,19.09,2.9,16.07
25430,Madrid,CUNDINAMARCA,90.66,90.61,90.71,73.58,90.62,12.46,18.9
25436,Manta,CUNDINAMARCA,21.33,21.26,21.26,0.22,21.26,3.04,15.98
25438,Medina,CUNDINAMARCA,44.45,44.5,43.89,33.21,44.54,1.9,18.42
25473,Mosquera,CUNDINAMARCA,96.44,96.96,97.19,85.81,97.1,26.43,20.31
25483,Nariño,CUNDINAMARCA,69.28,62.1,66.61,1.17,68.11,1.67,19.27
25486,NEMOCON,CUNDINAMARCA,46.37,46.29,46.87,28.68,46.2,8.36,16.79
25488,Nilo,CUNDINAMARCA,31.92,30.36,31.7,0.05,30.74,1.99,17.46
25489,Nimaima,CUNDINAMARCA,17.6,17.42,17.32,0.19,17.6,1.12,14.51
25491,Nocaima,CUNDINAMARCA,33.75,31.61,33.63,0,33.33,2.14,16.11
25506,Venecia(O. Perez),CUNDINAMARCA,20.47,13.56,21.31,0.32,21.05,0.58,16.94
25513,Pacho,CUNDINAMARCA,42.23,39.1,42.33,0.09,41.7,2.32,19.29
25518,Paime,CUNDINAMARCA,9.35,9.28,9.42,0,9.07,0.07,18.67
25524,PANDI,CUNDINAMARCA,21.22,20.44,21.08,0.14,21.15,1.85,17.56
25530,Paratebueno,CUNDINAMARCA,34.77,35.68,33.86,27.52,35.78,1.47,16.62
25535,Pasca,CUNDINAMARCA,25.48,22.69,26.11,0.49,25.37,0.74,15.67
25572,Puerto Salgar,CUNDINAMARCA,74.46,72.91,74.46,49.19,74.13,5.91,18.19
25580,Puli,CUNDINAMARCA,17.76,8.82,17.41,0.24,13.06,0.24,17.12
25592,Quebradanegra,CUNDINAMARCA,7.57,7.64,7.57,0,7.78,0.14,14.93
25594,Quetame,CUNDINAMARCA,18.94,16.95,18.83,10.24,18.77,0.23,17.88
25596,Quipile,CUNDINAMARCA,9.02,8.36,8.76,0.04,8.31,0.57,15.63
25599,Apulo,CUNDINAMARCA,41.06,40,40.71,7.29,40.78,8.82,16.6
25612,Ricaurte,CUNDINAMARCA,38.5,37.07,39.46,15.49,39.27,4.82,17.87
25645,San Antonio de T.,CUNDINAMARCA,5.63,5.49,5.63,0.11,5.63,0.91,17.6
25649,San Bernardo,CUNDINAMARCA,38.54,37.97,38.08,0.38,38.43,1.82,18.35
25653,San Cayetano,CUNDINAMARCA,11.81,11.73,11.81,0.37,11.81,0.3,18.69
25658,San Francisco,CUNDINAMARCA,38.49,36.05,38.45,0.15,38.38,2.18,17.52
25662,San Juan Rioseco,CUNDINAMARCA,31.57,30.44,30.64,0.56,29.42,1.85,17.8
25718,Sasaima,CUNDINAMARCA,21.76,8.72,22.05,0.22,21.87,1.31,16.66
25736,Sesquile,CUNDINAMARCA,37.74,31.06,38.05,0,37.74,3.88,19.72
25740,Sibate,CUNDINAMARCA,69.8,69.63,69.68,59.52,69.65,31.84,15.91
25743,Silvania,CUNDINAMARCA,27.45,26.31,27.45,11.79,26.56,1.97,18.99
25745,Simijaca,CUNDINAMARCA,59.48,52,59.52,37.38,52.35,4.19,20.29
25754,Soacha,CUNDINAMARCA,91.03,88.37,98.92,85.09,98.77,50.64,20.6
25758,SOPO,CUNDINAMARCA,58.08,57.6,58.25,37.93,58.19,12.45,23.39
25769,Subachoque,CUNDINAMARCA,44.11,43.78,44.11,22.7,44.05,4.83,19.09
25772,Suesca,CUNDINAMARCA,44.09,42.32,44.03,0.18,44.03,3.09,21.58
25777,SUPATA,CUNDINAMARCA,30.46,29.12,29.47,0,29.96,2.47,19.61
25779,Susa,CUNDINAMARCA,26.91,25.97,26.91,14.64,25.47,4.01,17.97
25781,Sutatausa,CUNDINAMARCA,31.54,29.8,31.47,18.3,31.6,1.22,17.93
25785,Tabio,CUNDINAMARCA,23.2,22.95,23.15,18.03,23.1,3.33,21.92
25793,Tausa,CUNDINAMARCA,14.55,13.77,14.84,7.35,13.39,1.3,17.11
25797,Tena,CUNDINAMARCA,6.75,6.27,6.7,0,6.42,0.99,18.03
25799,Tenjo,CUNDINAMARCA,24.48,24.29,24.48,11.89,24.5,9.36,21.02
25805,Tibacuy,CUNDINAMARCA,8.97,8.42,8.5,0,8.58,0.87,17.13
25807,Tibirita,CUNDINAMARCA,16.55,16.44,16.44,0,15.19,1.93,16.8
25815,Tocaima,CUNDINAMARCA,56.37,55.42,56.3,2.1,56.42,10.52,17.16
25817,TOCANCIPA,CUNDINAMARCA,43.27,42.76,43.28,20.21,43.17,6.18,21.55
25823,Topaipi,CUNDINAMARCA,0,0,0,0,0,0,17.43
25839,UBALA,CUNDINAMARCA,7.85,8.54,9.35,0.04,9.08,1.39,17.29
25841,Ubaque,CUNDINAMARCA,12.35,12.3,12.35,0.2,12.35,2.18,17.66
25843,Ubate,CUNDINAMARCA,60.77,59.52,61.43,40.1,59.63,5.35,19.94
25845,Une,CUNDINAMARCA,47.36,46.95,46.8,28.71,47.26,2.79,16.86
25851,Utica,CUNDINAMARCA,52.04,42.83,52.44,0.08,52.12,5.12,16.98
25862,Vergara,CUNDINAMARCA,13.35,12.42,13.12,0.18,13.17,1.19,15.51
25867,Viani,CUNDINAMARCA,32.36,32.02,32.44,0.08,32.44,3.02,16.52
25871,VILLAGOMEZ,CUNDINAMARCA,26.08,25.93,26.54,0.15,26.7,0.15,19.03
25873,VILLAPINZON,CUNDINAMARCA,33.31,31.6,33.43,0,33.28,3.4,22.32
25875,Villeta,CUNDINAMARCA,48.81,47.31,48.64,5.5,49.11,2.59,19.11
25878,VIOTA,CUNDINAMARCA,30.83,29.39,30.88,0.05,29.13,2.06,17.19
25885,YACOPI,CUNDINAMARCA,18.54,17.91,18.61,0.42,18.67,0.58,17.14
25898,ZIPACON,CUNDINAMARCA,24.41,24.12,24.26,19.15,23.11,3.24,17.55
25899,ZIPAQUIRA,CUNDINAMARCA,79.33,79.26,79.75,58.31,79.51,16.02,19.98
27001,Quibdó,CHOCO,6.13,3.31,94.35,0.44,66.07,16.67,20.95
27006,ACANDI,CHOCO,47.06,23.7,50.85,0.09,35.32,3.45,21.85
27025,Alto Baudo,CHOCO,14.32,0,11.58,0,11.38,0.03,18.11
27050,Atrato,CHOCO,1.76,1.14,41.04,0.46,37.79,1.65,23.6
27073,Bagadó,CHOCO,29.02,31.19,59.89,0.08,0.24,0.08,27.98
27075,BAHIA SOLANO,CHOCO,48.02,15.43,51.32,0.17,42.9,10.4,21.7
27077,Bajo Baudo (Pizar),CHOCO,18.88,6.93,23.04,0.57,9.2,2.55,19.74
27099,Bojaya,CHOCO,19.54,1.18,19.91,0.07,19.4,0.07,36.25
27135,Cantón San Pablo,CHOCO,33.46,25.77,44.54,0.08,43.15,0.08,22.32
27150,CARMEN DEL DARIEN,CHOCO,21.55,0,22.07,0,23.27,0,23.2
27160,Certegui,CHOCO,2.22,27.5,68.96,0.2,69.26,0.3,22.7
27205,Cóndoto,CHOCO,26.89,32.5,75.96,0.28,51.8,13.98,24.82
27245,El Carmen de Atrato,CHOCO,39.11,40.34,42.4,3.49,41.1,6.58,19.03
27250,Litoral del San J,CHOCO,11.02,0.38,20.91,0.15,2.04,0.98,26.82
27361,Istmina,CHOCO,0.81,5.8,90.1,0.28,58.52,14.38,22.12
27372,Jurado,CHOCO,35.4,23.71,41.92,0,48.57,0.23,28.94
27413,Lloró,CHOCO,21.45,25.02,50.84,1.09,1.16,0.8,21.88
27425,Medio Atrato,CHOCO,0,0,0,0,0,0,23.44
27430,Medio Baudo,CHOCO,0.57,0.09,14.31,0,14.64,0.05,21.58
27450,Medio San Juan,CHOCO,1.66,6.25,30.08,0.09,3.06,0.09,20.98
27491,Nóvita,CHOCO,34.55,24.01,42.77,0.5,41.11,0.22,25.19
27495,Nuquí,CHOCO,45.18,0.95,45.62,0.07,32.04,6.93,16.72
27580,RIO IRO,CHOCO,31.14,9.23,4.04,0,30.64,0,22.89
27600,Rio Quito,CHOCO,20.87,19.75,23.7,0.42,0.49,0,24.6
27615,Riosucio,CHOCO,7.44,8.07,48.72,0.09,67.53,0.93,22.07
27660,San Jose del Palmar,CHOCO,29.39,28.74,28.74,0,29.24,1.66,21.01
27745,Sipí,CHOCO,16.53,13.94,9.76,0,17.43,0.1,29.1
27787,TADO,CHOCO,3.31,18.01,61.61,0.23,5.13,10.89,23.54
27800,Unguía,CHOCO,34.12,24.39,35.07,0.41,32.33,0.68,23.64
27810,Union Panamericana,CHOCO,22.22,10.14,44.52,0.15,40.99,0.3,22.36
41001,Neiva,HUILA,88.29,83.76,89.26,81.26,87.84,42.04,15.95
41006,Acevedo,HUILA,16.41,14.48,16.41,2.88,16.05,1.41,19.77
41013,Agrado,HUILA,58.54,55.22,58.11,30.65,57.5,4.89,18.41
41016,Aipe,HUILA,56.44,53.51,55.95,48.59,56.19,4,14.76
41020,Algeciras,HUILA,41.07,40.21,41.24,36.34,40.99,2.64,18.1
41026,Altamira,HUILA,70.56,69.54,70.25,49.85,69.95,12.49,17.58
41078,Baraya,HUILA,54.12,52.55,53.39,44.75,53.78,7.51,15.9
41132,Campoalegre,HUILA,69.72,67.35,70.23,57.17,69.5,10.81,16.46
41206,Colombia,HUILA,25.99,25.66,25.9,9.2,25.37,1.48,17.05
41244,Elías,HUILA,31.31,29.42,31.1,16.44,25.24,1.99,18.86
41298,Garzón,HUILA,42.93,41.62,43.58,30.97,43.41,5.13,18.16
41306,Gigante,HUILA,40.46,39.43,40.26,34.63,39.49,7.33,20.37
41319,Guadalupe,HUILA,30.67,30.55,30.84,23.75,30.91,4.55,19.64
41349,Hobo,HUILA,71.85,70.85,69.85,58.13,71.73,5.95,17.82
41357,Iquira,HUILA,31.01,30.77,30.32,14.88,30.89,2.89,16.97
41359,Isnos,HUILA,20.91,20.24,20.89,1.57,20.21,0.72,18.47
41378,La Argentina,HUILA,33.74,33.25,32.72,5.43,34.33,0.97,15.36
41396,La Plata,HUILA,38.71,37.05,38.25,29.21,38.69,4.02,18.66
41483,Nátaga,HUILA,33.99,33.38,32.29,1.36,30.33,0.95,18.7
41503,Oporapa,HUILA,22.03,18.13,22.67,13.47,15.22,1.63,17.64
41518,Paicol,HUILA,39.47,37.1,39.34,35,39.34,5.62,20.27
41524,Palermo,HUILA,44.14,43.62,43.8,41.58,44.11,5.36,17.9
41530,Palestina,HUILA,13.4,12.47,13.58,0.26,13.47,1,16.6
41548,Pital,HUILA,38.4,37.57,38.4,1.98,38.68,2.29,18.23
41551,Pitalito,HUILA,52.84,52.11,53.23,25.72,52.83,8.28,18.73
41615,Rivera,HUILA,48.55,47.12,48.35,41.93,48.16,4.88,16.5
41660,Saladoblanco,HUILA,17.29,15.17,18.7,1.41,13.99,0.37,18.06
41668,San Agustín,HUILA,26.51,25.45,27.69,0.21,23.81,2.17,13.9
41676,Santa María,HUILA,25.62,23.7,26.24,12.77,24.81,2.06,16.75
41770,Suaza,HUILA,21.07,20.73,21.16,12.14,21.27,2.65,18.19
41791,Tarqui,HUILA,28.17,27.58,27.97,22.62,28.42,3.97,19.4
41797,Tesalia,HUILA,53.82,53.06,53.38,48.27,53.1,8.49,18.66
41799,Tello,HUILA,38.7,37.63,37.99,31.31,38.49,4.05,18.96
41801,Teruel,HUILA,52.49,50.93,53.14,48.77,52.89,5.13,16.72
41807,Timana,HUILA,34.76,33.87,34.1,20.6,34.22,2.95,18.61
41872,Villavieja,HUILA,34.19,31.97,33.59,28.72,32.93,4.1,14.49
41885,Yaguará ,HUILA,84.48,83.82,83.92,79.26,84.53,13.84,16.98
44001,Riohacha,LA GUAJIRA,75.11,41.22,83.56,42.16,64.65,8.04,21.54
44035,Albania,LA GUAJIRA,53.25,48.76,53.75,19.87,53.43,2.95,24.56
44078,Barrancas,LA GUAJIRA,69.96,62.59,69.76,48.67,62.39,5.04,21.92
44090,Dibulla,LA GUAJIRA,18.48,7.22,19.32,11.06,9.11,0.53,23.65
44098,Distracción,LA GUAJIRA,58.32,50.17,58.85,47.45,56.53,5.1,20.64
44110,El Molino,LA GUAJIRA,90.14,68.5,92.51,62.79,60.71,9.64,20.14
44279,Fonseca,LA GUAJIRA,70.6,48.5,79.54,47.65,43.63,4.4,21.72
44378,Hatonuevo,LA GUAJIRA,89.69,77.61,93.27,56.17,89.82,2.72,21.73
44420,La Jagua del Pilar,LA GUAJIRA,69.63,64.71,69.63,52.62,67.25,0.64,21.75
44430,Maicao,LA GUAJIRA,60.63,35.63,93.21,53.01,77.13,10.88,20.94
44560,Manaure,LA GUAJIRA,1.24,24.31,59.5,23.86,47.67,2.3,27.96
44650,San Juan del Cesar,LA GUAJIRA,64.91,46.74,64.6,39.71,51.48,10.4,22.38
44847,Uribia,LA GUAJIRA,24.95,22.63,35.91,13.84,28.39,2.34,19.5
44855,Urumita,LA GUAJIRA,90.42,86.66,89.03,78.52,69.28,14.78,23.38
44874,Villanueva,LA GUAJIRA,94.57,83.96,95.77,72.51,43.81,6.76,21.52
47001,Santa Marta,MAGDALENA,38.7,45.25,87.03,49.85,76.59,7.75,18.92
47030,Algarrobo,MAGDALENA,57.03,0.37,65,0.44,55.54,0.44,20.79
47053,Aracataca,MAGDALENA,56.83,24.43,62.81,50.23,31.55,4.14,21.23
47058,Ariguaní,MAGDALENA,43.8,0.31,63.67,0.08,43.42,2.74,19.83
47161,Cerro San Antonio,MAGDALENA,56.66,0.17,56.88,0.06,24.01,0.28,14.84
47170,Chivolo,MAGDALENA,50.13,1.09,54.85,0.02,33.59,2.27,19.08
47189,Cienaga,MAGDALENA,70.22,41.38,77.02,55.16,61.9,4.42,22.72
47205,Concordia,MAGDALENA,33.41,0.22,40.54,0.04,23.48,0.27,23.1
47245,El Banco,MAGDALENA,29.53,20.2,60.84,32.27,21.52,6.48,21.29
47258,El Piñon,MAGDALENA,30.47,9.21,31.98,1.01,11.85,0.35,17.33
47268,El Reten,MAGDALENA,73.23,0.08,77.54,51.05,62.51,0.46,23.04
47288,Fundación,MAGDALENA,71.7,60.07,89.15,77.74,26.6,2.83,18.18
47318,Guamal,MAGDALENA,32.62,19.66,32.88,0.16,22.73,4.4,26.25
47460,Nueva Granada,MAGDALENA,1.05,17.59,32.23,0.02,20.21,0.15,22.79
47541,Pedraza,MAGDALENA,31.63,14.49,32.39,0.88,0.35,0.06,24.16
47545,Pijiño del Carmen,MAGDALENA,40.41,15.55,40.88,0.2,7.11,0.04,27.05
47551,Pivijay,MAGDALENA,51.64,10.1,57.85,2.56,24.85,4.69,21.07
47555,Plato,MAGDALENA,73.21,18.87,74.42,1.96,25.17,5,20.1
47570,Pueblo Viejo,MAGDALENA,27.7,0.07,28.55,11.29,12.49,0.14,22.38
47605,Remolino,MAGDALENA,66.34,0.56,65.99,35.05,64.33,2.5,20.81
47660,Sabanas Sn Angel,MAGDALENA,26.44,0.38,26.29,0,26.17,0.08,20.68
47675,Salamina,MAGDALENA,60.27,29.91,64.26,44.67,59.87,2.62,24.42
47692,San Sebastian B.,MAGDALENA,26.53,0.23,26.72,0,21.48,0.12,23.53
47703,San Zenón,MAGDALENA,17.2,12.55,18.22,0,2.59,0.18,26.94
47707,Santa Ana,MAGDALENA,53.04,19.3,53.19,32.23,45.15,2.37,22.56
47720,Santa Barbara de pinto,MAGDALENA,53.62,0.04,57.45,0,36.85,0,23.43
47745,Sitio Nuevo,MAGDALENA,62.73,0.14,67.03,44.66,23.16,1.12,22.92
47798,Tenerife,MAGDALENA,40.56,15.21,48.36,0.58,24.39,2.01,20.98
47960,ZAPAYAN,MAGDALENA,36.16,0.06,39.11,0.37,0.06,0.18,21.8
47980,Zona Bananera,MAGDALENA,0,0,0,0,0,0,22.89
50001,Villavicencio,META,81.65,82.84,93.1,57.28,91.29,4.82,13.39
50006,ACACIAS,META,82.19,81.66,82.32,78.5,82.27,6.15,17.83
50110,BARRANCA DE UPIA,META,66.46,61.77,65.56,37.85,65.25,1.36,19.96
50124,Cabuyaro,META,43.43,34.58,43.04,2.29,43.73,0.97,17.9
50150,Castilla La Nueva,META,44.49,43.28,45.14,10.04,44.7,6.46,16.31
50223,Cubarral,META,60.75,60.81,61.26,13.17,61.58,4.39,17.72
50226,Cumaral,META,64.38,65.15,67.97,46.9,67.57,4.04,17.69
50245,El Calvario,META,19.66,19.02,19.44,0,17.52,0,17.02
50251,El Castillo,META,32.03,28.18,29.09,4.64,30.67,1.13,17.54
50270,El Dorado,META,33.37,32.41,34.13,5.23,32.7,0,19.48
50287,Fuente de Oro,META,40.34,54.57,53.66,0.28,54.94,2.93,19.03
50313,Granada,META,1.87,66.3,76.97,9.95,77.77,4.15,17.16
50318,Guamal,META,64.74,64.12,64.36,18.19,64.47,7.05,17.43
50325,MAPIRIPAN,META,32.68,21.86,30.59,0,29.33,0.06,13.85
50330,Mesetas,META,34.84,34.44,32.93,0.26,34.58,2.47,16.4
50350,La Macarena,META,27.89,25.1,33.09,0.07,30.86,1.63,19.17
50370,Uribe,META,16.3,15.95,15.82,0.04,16.21,0.04,18.02
50400,LEJANIAS,META,39.49,37.12,38.03,0.12,39.61,1.26,17.16
50450,Puerto Concordia,META,25.44,25.72,37.53,2.57,36.15,0.47,18.88
50568,Puerto Gaitan,META,48.66,57.95,59.96,1.76,63.29,4.25,14.89
50573,PUERTO LOPEZ,META,59.85,58.22,59.55,13.03,59.78,3,17.13
50577,Puerto Lleras,META,23.05,4.88,41.06,1.36,41.42,0.84,18.3
50590,Puerto Rico,META,19.87,35,35.28,0.95,35.7,1.42,11.26
50606,Restrepo,META,68.56,63.42,68.08,57.66,68.79,8.12,19.95
50680,San Carlos Guaroa,META,49.55,49.24,48.09,4.5,51.8,0.82,18.56
50683,San Juan de Arama,META,41.3,38.68,40.18,0.28,39.94,2.39,21.93
50686,San Juanito,META,0,0,0,0,0,0,22.57
50689,SAN MARTIN,META,84.64,83.37,84.72,15.2,85.1,7.78,18.87
50711,Vista Hermosa,META,0.88,15.23,24.6,0.09,28.22,0.53,15.66
52001,Pasto,NARIÑO,70.73,70.69,70.89,0.17,70.78,14.08,17.01
52019,Alban,NARIÑO,22.63,21.75,23.33,0.42,22.54,0.23,14.37
52022,Aldana,NARIÑO,17.98,17.87,18.04,0.06,17.98,3.28,15.1
52036,Ancuya,NARIÑO,26.06,25.73,26.1,0.08,25.94,0.44,11.66
52051,Arboleda,NARIÑO,15.96,12.12,17.83,0.11,13.93,0.55,16.25
52079,Barbacoas,NARIÑO,17.29,0.74,43.67,0.02,33.62,3.07,19.02
52083,Belen,NARIÑO,47.44,45.7,47.51,0.07,46.86,4.62,12.88
52110,Buesaco,NARIÑO,25.5,23.42,25.43,0.1,23.38,0.94,15.83
52203,Colón-Genova,NARIÑO,9.76,9.67,9.81,0.13,9.72,0.49,16.66
